"Time","Tot","A","B","AA","AB","BA","BB"
1,1488.95155229602,634.627014005296,854.324538290721,276.073210397209,358.553803608087,3.12058749511495,851.203950795606
2,1491.87942972784,635.632842828682,856.24658689916,275.990647053391,359.642195775292,2.68939484802771,853.557192051133
3,1494.64634726517,637.357848720536,857.288498544638,276.553587419642,360.804261300894,2.1480895942487,855.14040895039
4,1497.18933030929,637.364016519378,859.825313789908,276.175782021102,361.188234498276,2.2119544389298,857.613359350979
5,1500.33514020698,638.879834423611,861.45530578337,279.676549806593,359.203284617018,5.12210838221292,856.333197401157
6,1503.42991771956,640.535796599789,862.894121119769,278.460147786553,362.075648813237,2.84834880733721,860.045772312432
7,1506.3758203033,640.916499348744,865.459320954557,279.32975269909,361.586746649654,4.08115735634209,861.378163598215
8,1509.18089277461,643.803181315667,865.377711458939,279.602355030812,364.200826284856,2.14119342256058,863.236518036379
9,1512.76012111182,645.594087422626,867.166033689195,280.758402367999,364.835685054627,2.80216149270602,864.363872196489
10,1515.57194371876,647.575177735172,867.996765983585,281.204662951366,366.370514783806,1.9498488975098,866.046917086075
11,1519.35483730354,649.71229217323,869.642545130307,282.71695867853,366.995333494701,2.95246034026793,866.690084790039
12,1522.49220514663,651.557173219364,870.935031927263,283.815610106691,367.741563112673,3.02867199693695,867.906359930326
13,1525.28832374783,652.445530531258,872.842793216573,283.209650305563,369.235880225694,2.43521804809452,870.407575168478
14,1527.52996569512,653.118433074478,874.411532620646,284.862562679965,368.255870394513,4.10213086288326,870.309401757762
15,1529.62577756681,653.255939919743,876.369837647064,283.879511649854,369.376428269889,3.28468349037832,873.085154156686
16,1532.31280331853,654.405407145719,877.907396172811,284.791695186567,369.613711959151,3.78328564167792,874.124110531133
17,1535.24478713307,653.620674512105,881.624112620964,283.850221248025,369.77045326408,4.27242221792086,877.351690403043
18,1539.25007378514,657.476749341551,881.77332444359,285.894928396273,371.581820945278,3.80257873348003,877.97074571011
19,1543.23429130999,659.807996503395,883.426294806593,287.184729558901,372.623266944493,3.88011251589015,879.546182290703
20,1546.79564831397,660.842457042166,885.953191271801,287.274214887734,373.568242154432,3.77032321536508,882.182868056435
21,1549.3899346443,660.807397533633,888.582537110663,287.095672317561,373.711725216072,3.94459095892395,884.637946151739
22,1552.95517300914,662.511547254915,890.443625754225,288.225172919752,374.286374335163,4.61905472901148,885.824571025213
23,1556.42243632527,664.277381380928,892.145054944341,288.311101402072,375.966279978857,3.56079864603994,888.584256298301
24,1560.68103397471,666.07201519505,894.609018779659,288.947880431698,377.124134763352,3.76928029067144,890.839738488987
25,1564.9384953863,667.579149670615,897.359345715688,289.837706994896,377.741442675719,4.12304018055637,893.236305535132
26,1569.26644950365,669.171051335086,900.09539816856,291.670691414928,377.500359920158,4.97833353009651,895.117064638463
27,1573.12024101545,669.920444502358,903.199796513091,292.782043772139,377.138400730219,5.89628050953819,897.303516003553
28,1576.16867686614,669.751143839222,906.417533026919,291.275363867352,378.47577997187,4.94681017598565,901.470722850934
29,1580.00813421477,671.914480649292,908.093653565479,291.562660687084,380.351819962208,3.87227161136336,904.221381954116
30,1584.05052465768,673.140131928796,910.910392728882,292.199476438421,380.940655490374,3.93019060432268,906.980202124559
31,1588.4552782675,676.443971470123,912.011306797379,294.674850212911,381.769121257212,4.08866801699649,907.922638780382
32,1592.06095298042,677.390689532813,914.67026344761,294.477866704807,382.912822828006,3.71912001253487,910.951143435075
33,1595.03659119654,678.570937928268,916.465653268276,295.041202710674,383.529735217594,3.62560108015062,912.840052188125
34,1597.88328200476,678.696648110825,919.186633893933,294.454934977589,384.241713133236,3.39491193233199,915.791721961601
35,1600.84579475747,678.512716188945,922.333078568524,295.198540520377,383.314175668568,4.56004359309877,917.773034975425
36,1604.66682627747,681.337389186295,923.329437091173,295.96173782813,385.375651358165,3.43679898125901,919.892638109914
37,1608.3096671227,683.943715604072,924.365951518629,297.1826801882,386.761035415872,2.83101985359164,921.534931665037
38,1611.81816606094,684.819765261216,926.998400799726,298.278102058527,386.541663202689,4.03806710101424,922.960333698712
39,1614.95484027793,685.543159649504,929.411680628427,298.867690881647,386.675468767857,4.73650287791055,924.675177750517
40,1618.39589517246,687.908766543043,930.487128629422,299.390028706105,388.518737836938,3.69653660708624,926.790592022336
41,1621.92672089682,688.435386053333,933.491334843491,298.555835362224,389.879550691109,3.17728136730563,930.314053476185
42,1625.4009055561,687.599267812298,937.801637743804,298.911148696297,388.688119116001,5.37674746299976,932.424890280804
43,1628.44437777314,690.319461025838,938.124916747301,301.136302343369,389.18315868247,4.97109841761688,933.153818329685
44,1631.90581169999,688.618691588586,943.287120111409,299.111494616746,389.50719697184,5.2976565674371,937.989463543972
45,1634.50106729488,691.613682373125,942.887384921756,300.235191262015,391.37849111111,3.47077315541616,939.41661176634
46,1638.18404238132,693.219582549203,944.964459832115,301.616581623285,391.603000925918,4.24609985589532,940.71835997622
47,1641.52466299911,695.142399987961,946.382263011149,302.257638204621,392.88476178334,3.32572419062211,943.056538820527
48,1645.15106358139,695.814342722149,949.33672085924,302.144132368437,393.670210353711,3.71349967733585,945.623221181905
49,1648.25175973593,695.980440131707,952.271319604219,303.296120417865,392.684319713843,5.02335407287417,947.247965531345
50,1651.60754693337,697.486711724388,954.120835208986,301.966974245318,395.51973747907,3.03341224881805,951.087422960168
51,1654.04571961268,698.841446427149,955.204273185534,304.142899527255,394.698546899894,3.84432361608231,951.359949569451
52,1657.35230171731,699.876496076335,957.47580564098,305.340106092386,394.536389983949,4.64732864406992,952.82847699691
53,1661.02635617516,701.539488395482,959.486867779673,305.357155860916,396.182332534565,3.79090203198886,955.695965747685
54,1664.26112645312,701.906558206186,962.354568246937,306.495907048938,395.410651157248,5.16472948010631,957.18983876683
55,1667.27272912316,704.741553040812,962.531176082348,306.543041092637,398.198511948174,3.02188316524735,959.5092929171
56,1669.72531508458,705.648388080439,964.076927004142,307.61246405974,398.035924020699,3.59840120146021,960.478525802682
57,1672.69729371636,705.831051750353,966.86624196601,307.221167697424,398.609884052929,3.78366102708682,963.082580938923
58,1675.36622614223,707.385458460471,967.980767681754,307.805069830207,399.580388630263,3.26747226668852,964.713295415066
59,1678.60501943107,709.313906393562,969.291113037507,308.715703722996,400.598202670566,3.17379825098832,966.117314786519
60,1682.10455256103,710.405707851514,971.698844709518,309.622823172217,400.782884679297,3.98516726060539,967.713677448912
61,1685.51121107456,711.025319301731,974.48589177283,309.935969330551,401.08934997118,4.68948282684219,969.796408945988
62,1689.16979377144,715.207883641451,973.961910129991,311.361189332682,403.846694308769,3.19884334113711,970.763066788853
63,1693.12522910668,718.108868516764,975.016360589913,312.568308341272,405.540560175492,3.15647241858065,971.859888171332
64,1696.83974319115,718.991783702891,977.847959488261,312.476334116452,406.515449586439,3.38239018021212,974.465569308049
65,1700.44373245379,721.522487779158,978.921244674631,313.332261468841,408.190226310317,2.94913580728677,975.972108867344
66,1703.50140554151,722.759718055329,980.741687486177,314.043754614378,408.715963440951,3.25320632412005,977.488481162057
67,1706.54243084834,724.863419281008,981.679011567329,315.441301636949,409.422117644059,2.99513686764001,978.683874699689
68,1709.89762578266,725.001827760293,984.895798022366,315.51386322957,409.487964530723,3.79394976069157,981.101848261674
69,1712.40919746241,725.53602192204,986.873175540372,316.083660011198,409.452361910842,4.08537443513844,982.787801105234
70,1715.01648480525,728.486397986043,986.530086819205,318.863619778536,409.622778207507,4.41124932419264,982.118837495012
71,1718.4781676062,729.113370402576,989.364797203624,317.201360969797,411.912009432779,3.26564941835683,986.099147785267
72,1721.4584668054,731.195978386465,990.26248841893,317.987863320238,413.208115066227,2.49582189376336,987.766666525167
73,1724.939235499,732.826959620762,992.112275878239,318.328776012733,414.498183608029,2.3020857602826,989.810190117956
74,1727.8076958334,734.38551553312,993.422180300284,320.819089090669,413.566426442451,3.74399485228522,989.678185447999
75,1730.65991444397,735.366700933279,995.293213510696,319.219962548627,416.146738384652,2.0588821685047,993.234331342191
76,1733.94841744649,736.736500005183,997.211917441304,321.355760883492,415.38073912169,3.7648778962734,993.447039545031
77,1737.11610009969,739.030683726967,998.085416372724,321.627580393809,417.403103333159,2.80126422765801,995.284152145066
78,1740.3642856754,740.252239162483,1000.11204651292,322.080968565362,418.171270597121,3.08066237901751,997.031384133899
79,1743.40665871892,742.12917775673,1001.27748096219,323.819924227107,418.309253529623,3.74222106454151,997.535259897653
80,1746.27903928777,743.216679684748,1003.06235960303,322.838297365947,420.378382318801,2.50128060059449,1000.56107900243
81,1748.91164862079,744.592012072191,1004.3196365486,322.778064341846,421.813947730345,1.78478991596333,1002.53484663263
82,1751.71227666883,746.739583002755,1004.97269366607,324.515605529933,422.223977472822,2.20162736944,1002.77106629663
83,1753.92777371952,749.019313723458,1004.90845999607,325.964495593959,423.054818129499,2.04454883481897,1002.86391116125
84,1755.65719719227,748.842386078822,1006.81481111345,325.99394138632,422.848444692502,2.7201466464633,1004.09466446699
